ID,名称,品质,槽位,属性1,属性2,属性3,属性4,属性5,描述,美术资源ID
SIGHT_009,4倍镜,Purple,Sight,精准度:+12%,射程:+5%,瞄准速度:-10%,,,"4倍放大镜，适合远距离精准射击",MESH_SIGHT_4X
SIGHT_010,4倍小海螺,Gold,Sight,精准度:+12%,射程:+8%,瞄准速度:+8%,,,"传说级4倍镜，快速切换和远程精准的完美结合。这个瞄具曾属于一位传奇狙击手，他在病毒爆发第一天用它救下了37名平民，然后消失在废墟中。",MESH_SIGHT_ACOG_GOLD
SIGHT_011,8倍狙击镜,Purple,Sight,精准度:+15%,射程:+10%,瞄准速度:-15%,机动性:-5%,,"8倍放大镜，极远距离狙击专用",MESH_SIGHT_8X
SIGHT_012,热成像瞄具,Gold,Sight,精准度:+10%,夜视:+100%,瞄准速度:+5%,,,"传说级热成像瞄具，夜间作战极大优势，秩序同盟专属。这是秩序同盟从废弃的军事研究所抢救出的最后一批高科技装备之一。",MESH_SIGHT_THERMAL
MAG_001,标准弹匣,White,Magazine,,,,,,"武器原装标准弹匣",MESH_MAG_STANDARD
MAG_002,扩容弹匣,Green,Magazine,弹药容量:+30%,换弹速度:-10%,,,,"增加弹药容量，但换弹速度略慢",MESH_MAG_EXTENDED_30
MAG_003,大容量弹匣,Blue,Magazine,弹药容量:+40%,换弹速度:-12%,机动性:-3%,,,"大容量设计，显著增加弹药",MESH_MAG_EXTENDED_40
MAG_004,超大弹匣,Purple,Magazine,弹药容量:+50%,换弹速度:-15%,机动性:-5%,,,"超大容量弹匣，持续火力输出",MESH_MAG_DRUM
MAG_005,高容弹匣Pro,Blue,Magazine,弹药容量:+50%,换弹速度:-10%,,,,"荒野猎人专属，火力持久设计",MESH_MAG_EXTENDED_PRO
MAG_006,快速弹匣,Green,Magazine,换弹速度:+20%,,,,,"快速换弹设计，缩短换弹时间",MESH_MAG_FAST_BASIC
MAG_007,竞技快速弹匣,Blue,Magazine,换弹速度:+30%,,,,,"竞技级快速弹匣，极快换弹",MESH_MAG_FAST_COMP
MAG_008,闪电弹匣,Purple,Magazine,换弹速度:+40%,机动性:+5%,,,,"顶级快速弹匣，换弹如闪电",MESH_MAG_FAST_PRO
MAG_009,精准弹匣,Green,Magazine,精准度:+5%,,,,,"精准设计弹匣，提升射击精准度",MESH_MAG_PRECISION_BASIC
MAG_010,狙击弹匣,Blue,Magazine,精准度:+8%,射程:+3%,,,,"狙击专用弹匣，远程精准",MESH_MAG_PRECISION_SNIPER
MAG_011,大师弹匣,Purple,Magazine,精准度:+10%,射程:+5%,,,,"大师级精准弹匣，极致精准",MESH_MAG_PRECISION_MASTER
GRIP_001,普通前握把,White,Grip,后坐力控制:+5%,机动性:-8%,,,,"基础的前握把设计，略微降低后坐力",MESH_GRIP_BASIC
GRIP_002,战术握把,Green,Grip,后坐力控制:+8%,机动性:-5%,,,,"人体工学改进的战术握把",MESH_GRIP_TACTICAL
GRIP_003,人体工学握把,Blue,Grip,后坐力控制:+12%,机动性:-3%,,,,"专业人体工学设计，有效降低后坐力",MESH_GRIP_ERGO
GRIP_004,竞技握把,Purple,Grip,后坐力控制:+15%,机动性:-2%,瞄准速度:+3%,,,"竞技级精密设计，专业选手首选",MESH_GRIP_COMP
GRIP_005,定制握把,Gold,Grip,后坐力控制:+18%,瞄准速度:+5%,,,,"传说级定制加工，完美平衡。握把侧面刻着一个名字'Sarah'和日期'2025.03.15'，可能是前特警队长为女儿定制的礼物。",MESH_GRIP_CUSTOM
GRIP_006,轻量握把,Green,Grip,后坐力控制:+6%,机动性:+5%,,,,"轻量化设计，平衡后坐力和机动性",MESH_GRIP_LIGHTWEIGHT
GRIP_007,重型握把,Blue,Grip,后坐力控制:+15%,机动性:-10%,,,,"重型设计，极强的后坐力控制但影响机动",MESH_GRIP_HEAVY
GRIP_008,精准射手握把,Purple,Grip,精准度:+15%,射速:-8%,,,,"秩序同盟专属，精准射击理念",MESH_GRIP_MARKSMAN
GRIP_009,多用途握把,Gold,Grip,精准度:+8%,机动性:+8%,,,,"黎明贸易团专属，平衡多用途设计。这个握把是黎明贸易团创始人亲自设计的，象征着在末世中'适应才能生存'的实用主义哲学。",MESH_GRIP_MULTIPURPOSE
ATTACH_001,激光指示器,Green,Attachment,腰射精准:+10%,暴露风险:+5%,,,,"红色激光指示器，提升腰射精准但可能暴露位置",MESH_ATTACH_LASER_RED
ATTACH_002,战术激光,Blue,Attachment,腰射精准:+15%,暴露风险:+3%,,,,"战术级激光，更隐蔽的设计",MESH_ATTACH_LASER_TAC
ATTACH_003,红外激光,Purple,Attachment,腰射精准:+20%,,,,,"红外激光，肉眼不可见，极大提升腰射精准",MESH_ATTACH_LASER_IR
ATTACH_004,战术手电,Green,Attachment,照明:+100%,暴露风险:+10%,,,,"战术手电筒，照亮黑暗环境",MESH_ATTACH_FLASHLIGHT
ATTACH_005,高亮手电,Blue,Attachment,照明:+150%,致盲效果:+50%,暴露风险:+8%,,,"高亮度手电，可短暂致盲敌人",MESH_ATTACH_FLASHLIGHT_HIGH
ATTACH_006,下挂榴弹,Blue,Attachment,爆炸伤害:+100%,机动性:-10%,,,,"下挂榴弹发射器，提供爆炸伤害选项",MESH_ATTACH_GL_BASIC
ATTACH_007,战术榴弹,Purple,Attachment,爆炸伤害:+120%,机动性:-8%,,,,"战术级榴弹发射器，更强的爆炸效果",MESH_ATTACH_GL_TAC
ATTACH_008,辅助瞄具,Blue,Attachment,快速切换瞄准:+30%,,,,,"45度辅助瞄具，快速切换近远距离瞄准",MESH_ATTACH_OFFSET_SIGHT
ATTACH_009,战术配件组,Purple,Attachment,腰射精准:+10%,瞄准速度:+5%,,,,"集成多种战术配件的组合装置",MESH_ATTACH_COMBO
STOCK_001,固定枪托,White,Stock,后坐力控制:+3%,,,,,"武器原装固定枪托，基础后坐力控制",MESH_STOCK_FIXED_BASIC
STOCK_002,战术固定枪托,Green,Stock,后坐力控制:+6%,稳定性:+3%,,,,"战术级固定枪托，提升稳定性",MESH_STOCK_FIXED_TAC
STOCK_003,重型枪托,Blue,Stock,后坐力控制:+10%,机动性:-5%,,,,"重型设计，极强后坐力控制",MESH_STOCK_FIXED_HEAVY
STOCK_004,伸缩枪托,Green,Stock,后坐力控制:+5%,机动性:+5%,,,,"可伸缩设计，平衡后坐力和机动性",MESH_STOCK_COLLAPSIBLE
STOCK_005,战术伸缩枪托,Blue,Stock,后坐力控制:+8%,机动性:+8%,,,,"战术级伸缩设计，灵活多用途",MESH_STOCK_COLLAPSIBLE_TAC
STOCK_006,骷髅枪托,Green,Stock,机动性:+10%,后坐力控制:-3%,,,,"镂空骷髅设计，极轻量高机动",MESH_STOCK_SKELETON
STOCK_007,战术骷髅枪托,Blue,Stock,机动性:+15%,后坐力控制:+3%,,,,"战术骷髅设计，平衡机动性和控制",MESH_STOCK_SKELETON_TAC
STOCK_008,竞技枪托,Purple,Stock,后坐力控制:+12%,稳定性:+8%,,,,"竞技级枪托，专业选手首选",MESH_STOCK_COMP
STOCK_009,战术枪托,Purple,Stock,后坐力控制:+10%,机动性:+8%,稳定性:+5%,,,"全面战术设计，各方面提升",MESH_STOCK_TACTICAL_PRO
STOCK_010,传说枪托,Gold,Stock,后坐力控制:+15%,机动性:+10%,稳定性:+8%,,,"传说级枪托，完美的平衡设计。据传这是某位枪械大师在病毒爆发前夕的最后作品，上面刻着'For those who fight back'（为反抗者而造）。",MESH_STOCK_LEGENDARY
